,Unnamed: 0,Determination of die stress using Kriging Models,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Define input,Parameter,Value,Unity,lowerrange,upperrange ,,,,,,,
1,die thickness,dt,0.24,mm,0.24,0.24,,,,,,,
87,24,0.8,0.028,-19497.9069093243,,,-13166.68647893545,,,-1473.61521506941,,,-836.4636919986841
88,25,0.333,0.047,-82297.8033818212,,,-80707.14433192248,,,323.513642211073,,,303.8523868011883
89,,,,,,,-49.27094289097741,,,,,,-45.51162922096839
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,bot5,,,,,,bot5,,,
93,,t_lf,t_solder,ci,theta,p,,,,ci,theta,p,
94,1,0.257,0.054,6059.07767043486,1.1113285268153,1.875,6024.611766349247,,,5629.24129434082,1.1113285268153,1.875,5597.220432242909
95,2,0.771,0.02,1708.27257306371,28.3541087098028,1.96875,1125.6714532288322,,,1810.34658616626,28.3541087098028,1.96875,1192.9334373394681
96,3,0.2,0.037,531.698207207574,,,528.788053450181,,,396.756831873416,,,394.58525527339
97,4,0.543,0.076,-1657.40440591168,co,,-1396.9787289250685,,,-1499.34144538375,co,,-1263.751984202509
98,5,0.657,0.046,-1920.8578912226,-334.989376621698,,-1486.2631261436732,,,-1744.8023010381,-335.378831965278,,-1350.0401743894763
99,6,0.429,0.041,6625.22595096313,,,6160.471150311468,,,6796.2255023976,,,6319.475207097654
100,7,0.943,0.033,4341.86128647798,,,2275.6802201000833,,,4356.46214761515,,,2283.3329037520843
101,8,0.886,0.05,-1213.45166216869,,,-701.3521528112944,,,-1099.55373762024,,,-635.5213026231402
102,9,1,0.067,1167.2066532394,,,556.5145123431865,,,1165.44950166057,,,555.6767169525488
103,10,0.314,0.0709999999999999,6029.18166481244,,,5833.141517802216,,,5993.46170986187,,,5798.58300491941
104,11,0.6,0.029,-4690.944582382,,,-3789.123026225785,,,-4589.75314199329,,,-3707.3853697474146
105,12,0.829,0.08,-58.1302242252127,,,-35.455932681063096,,,-5.07983013061277,,,-3.098390166954208
106,13,0.714,0.063,-993.095011056118,,,-717.848772222384,,,-990.860966446553,,,-716.2339154743265
107,14,0.371,0.024,2298.94799340652,,,2160.7271983722317,,,1955.8772170431,,,1838.2830371379855
108,15,0.486,0.059,397.66576664073,,,356.61331893228817,,,528.556683081599,,,473.9919017667459
109,16,0.2842,0.0263,-4569.59621212652,,,-4440.592528376279,,,-4136.21593233008,,,-4019.446951595849
110,17,0.5789,0.0516,4487.82026495355,,,3747.7381013764602,,,4152.07343369197,,,3467.3589601346134
111,18,0.7474,0.0389,-1149.13237366465,,,-799.2580949677198,,,-1265.47713974937,,,-880.1795781940511
112,19,0.9158,0.0611,-1979.58106227639,,,-1088.8811259175848,,,-2074.03078802608,,,-1140.833796953276
113,20,0.4526,0.0737,-6029.19389511784,,,-5443.8868310250355,,,-6174.59935908941,,,-5575.176503283693
114,21,0.967,0.023,-2845.07772836735,,,-1414.2878769410847,,,-2843.17512949385,,,-1413.3420952161625
115,22,0.233,0.065,-5688.43244232783,,,-5636.743871231923,,,-5391.74614134232,,,-5342.753443163449
116,23,0.633,0.078,3309.00353285861,,,2561.1235821855516,,,3248.99754213145,,,2514.6797641606813
117,24,0.8,0.028,749.509674465108,,,481.78579621331073,,,617.667652138466,,,397.03757232101015
118,25,0.333,0.047,-4910.57374767672,,,-4786.4455502247265,,,-4836.48018935861,,,-4714.224909473771
119,,,,,,,-259.24032365026477,,,,,,-264.2090533508484
